A002,IRKUT,A-002,G,P
CAD2,DELISLE,Cadi,L,P
CAD4,CLASS,Bush Caddy L-160,L,P
CAD4,CLASS,Bush Caddy L-164,L,P
CAML,SOPWITH,Camel,L,P
CAML,SOPWITH,Camel Replica,L,P
CAMP,GREGA,Aircamper,L,P
CAMP,GREGA,GN-1 Aircamper,L,P
CAMP,PIETENPOL,Aircamper,L,P
CAMP,PIETENPOL,B-4 Aircamper,L,P
CAMP,ST. CROIX,Pietenpol Aircamper,L,P
CAN4,CAMPANA,AN-4,L,P
CAPL,CAPELLA,Capella,L,P
CAPL,FLIGHTWORKS,Capella,L,P
CAR,AEROCAR,Aerocar,L,P
CARV,AVIATION TRADERS,ATL-98 Carvair,L,P
CARV,AVIATION TRADERS,Carvair,L,P
CASS,CASSUTT,Special,L,P
CASS,NATIONAL AERONAUTICS,Cassutt 3M,L,P
CAT,BOEING CANADA,Canso,A,P
CAT,BOEING CANADA,Catalina,A,P
CAT,BOEING CANADA,PBY Catalina,A,P
CAT,CANADAIR,A-10 Catalina,A,P
CAT,CANADAIR,Catalina,A,P
CAT,CANADAIR,CL-1 Catalina,A,P
CAT,CANADAIR,OA-10 Catalina,A,P
CAT,CANADIAN VICKERS,A-10 Catalina,A,P
CAT,CANADIAN VICKERS,Canso,A,P
CAT,CANADIAN VICKERS,Catalina,A,P
CAT,CANADIAN VICKERS,OA-10 Catalina,A,P
CAT,CANADIAN VICKERS,PBV Catalina,A,P
CAT,CANADIAN VICKERS,PBY Catalina,A,P
CAT,CONSOLIDATED,28 Catalina,A,P
CAT,CONSOLIDATED,A-10 Catalina,A,P
CAT,CONSOLIDATED,Canso,A,P
CAT,CONSOLIDATED,Catalina,A,P
CAT,CONSOLIDATED,OA-10 Catalina,A,P
CAT,CONSOLIDATED,PBY Catalina,A,P
CAT,CONVAIR,28 Catalina,A,P
CAT,CONVAIR,A-10 Catalina,A,P
CAT,CONVAIR,Catalina,A,P
CAT,CONVAIR,OA-10 Catalina,A,P
CAT,CONVAIR,PBY Catalina,A,P
CAT1,CREATIVE FLIGHT,Aerocat SR,L,P
CAT1,CREATIVE FLIGHT,MPA Aerocat SR,L,P
CAT2,CREATIVE FLIGHT,Aerocat TR,L,P
CAT2,CREATIVE FLIGHT,MPA Aerocat TR,L,P
CAW,CESSNA,AW,L,P
CB1,HATZ,Biplane,L,P
CB1,HATZ,CB-1 Biplane,L,P
CB1,MAKELAN,Hatz Classic,L,P
CCOP,CARTERCOPTERS,CarterCopter,G,P
CD2,CLAUDIUS DORNIER,CD-2 Seastar,A,T
CD2,CLAUDIUS DORNIER,Seastar,A,T
CDC6,CESSNA,DC-6,L,P
CDW1,CHILTON,DW-1,L,P
CE15,CHERNOV,Che-15,S,P
CE22,CHERNOV,Che-22 Corvette,S,P
CE22,CHERNOV,Corvette,S,P
CE22,HYDROPLANE,Che-22 Corvette,S,P
CE22,HYDROPLANE,Che-22 Pelican,S,P
CE22,HYDROPLANE,Corvette,S,P
CE22,HYDROPLANE,Pelican,S,P
CE25,CHERNOV,Che-25,S,P
CE25,HYDROPLANE,Che-25,S,P
CE43,CERVA,CE-43 Guepard,L,P
CE43,CERVA,Guepard,L,P
CEGL,CELAIR,Eagle 300,L,P
CELR,MIRAGE,Celerity,L,P
CENT,FOUND,100 Centennial,L,P
CENT,FOUND,Centennial,L,P
CG3,CAUDRON,G-3,L,P
CG3,CAUDRON,G-3 Replica,L,P
CH1,AIDC,A-CH-1 Chung-Tsing,L,T
CH1,AIDC,Chung-Tsing,L,T
CH1,AIDC,R-CH-1 Chung-Tsing,L,T
CH1,AIDC,T-CH-1 Chung-Tsing,L,T
CH10,ZENAIR,CH-100 Mono-Z,L,P
CH10,ZENAIR,CH-100 Mono-Zénith,L,P
CH10,ZENAIR,Mono-Z,L,P
CH10,ZENAIR,Mono-Zénith,L,P
CH15,ZENAIR,Acro-Z,L,P
CH15,ZENAIR,Acro-Zénith,L,P
CH15,ZENAIR,CH-150 Acro-Z,L,P
CH15,ZENAIR,CH-150 Acro-Zénith,L,P
CH18,ZENAIR,CH-180 Super Acro-Z,L,P
CH18,ZENAIR,CH-180 Super Acro-Zénith,L,P
CH18,ZENAIR,Super Acro-Z,L,P
CH18,ZENAIR,Super Acro-Zénith,L,P
CH20,HEINTZ,CH-200 Zénith,L,P
CH20,HEINTZ,Zénith,L,P
CH20,ZENAIR,CH-200 Zénith,L,P
CH20,ZENAIR,Zénith (CH-200),L,P
CH25,ZENAIR,CH-250 Zénith,L,P
CH25,ZENAIR,Zénith (CH-250),L,P
CH2T,AMD,Alarus,L,P
CH2T,AMD,CH-2000 Alarus,L,P
CH2T,AMD,CH-2000 Zénith,L,P
CH2T,AMD,Zénith,L,P
CH2T,ZENAIR,CH-2000 Zénith,L,P
CH2T,ZENAIR,Zénith (CH-2000),L,P
CH30,ZENAIR,CH-300 Tri-Z,L,P
CH30,ZENAIR,CH-300 Tri-Zénith,L,P
CH30,ZENAIR,Tri-Z,L,P
CH30,ZENAIR,Tri-Zénith,L,P
CH40,CHAMPION,402 Lancer,L,P
CH40,CHAMPION,Lancer,L,P
CH50,ZENAIR,CH-50 Mini Zénith,L,P
CH50,ZENAIR,CH-50 Mini-Z,L,P
CH50,ZENAIR,Mini Zénith,L,P
CH50,ZENAIR,Mini-Z,L,P
CH60,CZAW,CH-601 Zodiac,L,P
CH60,CZAW,Zodiac,L,P
CH60,DERAZONA,CH-601 Zodiac,L,P
CH60,DERAZONA,Zodiac,L,P
CH60,ZENAIR,CH-600 Zodiac,L,P
CH60,ZENAIR,CH-601 Super Zodiac,L,P
CH60,ZENAIR,CH-601 Zodiac,L,P
CH60,ZENAIR,Super Zodiac,L,P
CH60,ZENAIR,Zodiac (CH-600/601),L,P
CH60,ZENITH,CH-601 Super Zodiac,L,P
CH60,ZENITH,CH-601 Zodiac,L,P
CH60,ZENITH,Super Zodiac,L,P
CH60,ZENITH,Zodiac (CH-601),L,P
CH62,ZENAIR,CH-620 Gemini,L,P
CH62,ZENAIR,Gemini,L,P
CH62,ZENITH,CH-620 Gemini,L,P
CH62,ZENITH,Gemini,L,P
CH64,ZENAIR,CH-640 Zodiac,L,P
CH64,ZENAIR,Zodiac (CH-640),L,P
CH64,ZENITH,CH-640 Zodiac,L,P
CH64,ZENITH,Zodiac (CH-640),L,P
CH7,HELI-SPORT,CH-7 Kompress,H,P
CH7,HELI-SPORT,Kompress,H,P
CH70,AEROBRAVO,Bravo,L,P
CH70,CZAW,CH-701 Stol,L,P
CH70,CZAW,Stol (CH-701),L,P
CH70,ZENAIR,CH-701 Stol,L,P
CH70,ZENAIR,Stol (CH-701),L,P
CH70,ZENITH,CH-701 Stol,L,P
CH70,ZENITH,Stol (CH-701),L,P
CH7A,AERONCA,7AC Champion,L,P
CH7A,AERONCA,7BCM,L,P
CH7A,AERONCA,7CC Champion,L,P
CH7A,AERONCA,7CCM,L,P
CH7A,AERONCA,7DC Champion,L,P
CH7A,AERONCA,7EC Traveler,L,P
CH7A,AERONCA,Champion,L,P
CH7A,AERONCA,L-16,L,P
CH7A,AERONCA,Traveler,L,P
CH7A,AMERICAN CHAMPION,7ECA Citabria Aurora,L,P
CH7A,AMERICAN CHAMPION,Citabria Aurora,L,P
CH7A,BELLANCA,7ACA Champ,L,P
CH7A,BELLANCA,7ECA Citabria,L,P
CH7A,BELLANCA,Champ,L,P
CH7A,BELLANCA,Citabria (7ECA),L,P
CH7A,CHAMPION,7EC Traveler,L,P
CH7A,CHAMPION,7ECA Citabria,L,P
CH7A,CHAMPION,7FC Tri-Traveler,L,P
CH7A,CHAMPION,7JC Tri-Con,L,P
CH7A,CHAMPION,Citabria (7ECA),L,P
CH7A,CHAMPION,Traveler,L,P
CH7A,CHAMPION,Tri-Con,L,P
CH7A,CHAMPION,Tri-Traveler,L,P
CH7B,AMERICAN CHAMPION,7GCAA Citabria Adventure,L,P
CH7B,AMERICAN CHAMPION,7GCBC Citabria Explorer,L,P
CH7B,AMERICAN CHAMPION,Citabria Adventure,L,P
CH7B,AMERICAN CHAMPION,Citabria Explorer,L,P
CH7B,BELLANCA,7GCBC Citabria,L,P
CH7B,BELLANCA,7KCAB Citabria,L,P
CH7B,BELLANCA,Citabria (7GCBC/7KCAB),L,P
CH7B,CHAMPION,7GC Sky-Trac,L,P
CH7B,CHAMPION,7GCA Sky-Trac,L,P
CH7B,CHAMPION,7GCAA,L,P
CH7B,CHAMPION,7GCB Challenger,L,P
CH7B,CHAMPION,7GCBA Challenger,L,P
CH7B,CHAMPION,7GCBC Citabria,L,P
CH7B,CHAMPION,7HC DX'er,L,P
CH7B,CHAMPION,7KC Olympia,L,P
CH7B,CHAMPION,7KCAB Citabria,L,P
CH7B,CHAMPION,Challenger,L,P
CH7B,CHAMPION,Citabria (7GCBC/7KCAB),L,P
CH7B,CHAMPION,DX'er,L,P
CH7B,CHAMPION,Olympia,L,P
CH7B,CHAMPION,Sky-Trac,L,P
CH80,CZAW,CH-801 Stol,L,P
CH80,CZAW,Stol (CH-801),L,P
CH80,ZENAIR,CH-801 Stol,L,P
CH80,ZENAIR,Stol (CH-801),L,P
CH80,ZENITH,CH-801 Stol,L,P
CH80,ZENITH,Stol (CH-801),L,P
CHCS,NOIN,Choucas,L,P
CHGO,KOREAN AIR,Chang-Gong 91,L,P
CHGO,KOREAN AIR,CHK-91 Chang-Gong 91,L,P
CHIF,PAWNEE,Chief,H,P
CHIN,ASAP,Chinook,L,P
CHIP,LEGER,Super-Chipmunk,L,P
CHIP,SUPER-CHIPMUNK,Super-Chipmunk,L,P
CHR1,ELMWOOD,CA-05 Christavia Mk1,L,P
CHR1,ELMWOOD,Christavia Mk1,L,P
CHR4,ELMWOOD,CH-8 Christavia Mk4,L,P
CHR4,ELMWOOD,Christavia Mk4,L,P
CHSY,CHAYAIR,Sycamore,G,P
CICA,HYDROPLANE,Cicada,L,P
CJ1,CORBY,CJ-1 Starlet,L,P
CJ1,CORBY,Starlet,L,P
CJ6,HONGDU,BT-6,L,P
CJ6,HONGDU,CJ-6,L,P
CJ6,NANCHANG,CJ-6,L,P
CJ6,NANCHANG,PT-6,L,P
CKUO,AIDC,Ching-Kuo,L,J
CKUO,AIDC,F-CK-1 Ching-Kuo,L,J
CL2P,CANADAIR,CL-215,A,P
CL2P,CANADAIR,UD-13 (piston),A,P
CL2T,CANADAIR,CL-215T,A,T
CL2T,CANADAIR,CL-415,A,T
CL2T,CANADAIR,CL-415 SuperScooper,A,T
CL2T,CANADAIR,SuperScooper,A,T
CL2T,CANADAIR,UD-13 (turbine),A,T
CL30,BOMBARDIER,BD-100 Challenger 300,L,J
CL30,BOMBARDIER,Challenger 300,L,J
CL41,CANADAIR,CL-41 Tutor,L,J
CL41,CANADAIR,CT-114 Tutor,L,J
CL41,CANADAIR,Tutor,L,J
CL44,CANADAIR,CL-44 Forty Four,L,T
CL44,CANADAIR,Forty Four,L,T
CL4G,CANADAIR,CL-44-O Guppy,L,T
CL4G,CANADAIR,Guppy,L,T
CL4G,CONROY,CL-44-O Guppy,L,T
CL4G,CONROY,Guppy,L,T
CL60,CANADAIR,CC-144 Challenger 600,L,J
CL60,CANADAIR,CC-144B Challenger 601,L,J
CL60,CANADAIR,CE-144A Challenger 600,L,J
CL60,CANADAIR,Challenger 600,L,J
CL60,CANADAIR,Challenger 601,L,J
CL60,CANADAIR,Challenger 604,L,J
CL60,CANADAIR,CL-600 Challenger 600,L,J
CL60,CANADAIR,CL-600 Challenger 601,L,J
CL60,CANADAIR,CL-600 Challenger 604,L,J
CL8,CARRIOU,CL-8 RSA Club,L,P
CL8,CARRIOU,RSA Club,L,P
CLA,CALLAIR,A-2,L,P
CLA,CALLAIR,A-3,L,P
CLA,CALLAIR,A-4,L,P
CLB1,AERO COMMANDER,Ag Commander (B-1),L,P
CLB1,AERO COMMANDER,B-1 Ag Commander,L,P
CLB1,IMCO,Callair B-1,L,P
CLB1,NORTH AMERICAN ROCKWELL,B-1 Snipe Commander,L,P
CLB1,NORTH AMERICAN ROCKWELL,Snipe Commander,L,P
CLBR,FISHER,Celebrity,L,P
CLBR,FISHER AERO,Celebrity,L,P
CMAS,CESSNA,Airmaster,L,P
CMAS,CESSNA,C-145 Airmaster,L,P
CMAS,CESSNA,C-165 Airmaster,L,P
CMAS,CESSNA,C-34,L,P
CMAS,CESSNA,C-37,L,P
CMAS,CESSNA,C-38 Airmaster,L,P
CMD1,AIR COMMAND,Commander 147,G,P
CMDE,AIR COMMAND,Commander Elite Side-by-Side,G,P
CMDT,AIR COMMAND,Commander Elite Tandem,G,P
CN12,CIRCA,Nieuport 12-7/8,L,P
CN35,AIRTECH,CN-235,L,T
CN35,AIRTECH,CN-235 Persuader,L,T
CN35,AIRTECH,Persuader,L,T
CN35,AIRTECH,T-19,L,T
CN35,CASA,CN-235,L,T
CN35,CASA,CN-235 Persuader,L,T
CN35,CASA,Persuader (CN-235),L,T
CN35,CASA,T-19,L,T
CN35,DIRGANTARA,CN-235,L,T
CN35,NURTANIO,CN-235,L,T
CN35,NUSANTARA,CN-235,L,T
CN35,TUSAS,CN-235,L,T
CN35,TUSAS,CN-235 Persuader,L,T
CN35,TUSAS,Persuader,L,T
CNBR,BAC,Canberra,L,J
CNBR,ENGLISH ELECTRIC,Canberra,L,J
CNBR,SHORT,Canberra,L,J
CNDR,GENERAL AVIA,Condor,L,T
CNDR,GENERAL AVIA,F-20TP Condor,L,T
CNUK,FLEET,80 Canuck,L,P
CNUK,FLEET,Canuck,L,P
CNUK,LEAVENS,80 Canuck,L,P
CNUK,LEAVENS,Canuck,L,P
COAR,COBRA,Arrow,L,P
COBR,DEBORDE-ROLLAND,Cobra,L,P
COL3,LANCAIR,Columbia 300,L,P
COL3,LANCAIR,Columbia 350,L,P
COL3,LANCAIR,Columbia 400,L,P
COL3,LANCAIR,LC-40 Columbia 300,L,P
COL3,LANCAIR,LC-40 Columbia 350,L,P
COL3,LANCAIR,LC-40 Columbia 400,L,P
COMT,DE HAVILLAND,Comet,L,J
COMT,DE HAVILLAND,DH-106 Comet,L,J
COMT,HAWKER SIDDELEY,Comet,L,J
COMT,HAWKER SIDDELEY,DH-106 Comet,L,J
COMU,HELICOM,Commuter,H,P
COMU,HELICOM,H-1 Commuter,H,P
COMU,INTERNATIONAL HELICOPTERS,Commuter,H,P
COMU,INTERNATIONAL HELICOPTERS,H-1 Commuter,H,P
COMU,TAMARIND,Commuter,H,P
COMU,TAMARIND,H-1 Commuter,H,P
CONC,AEROSPATIALE,Concorde,P,J
CONC,AEROSPATIALE-BAC,Concorde,P,J
CONC,AEROSPATIALE-BRITISH AEROSPACE,Concorde,P,J
CONC,BAC,Concorde,P,J
CONC,BRITISH AEROSPACE,Concorde,P,J
CONC,SUD,Concorde,P,J
CONC,SUD-BAC,Concorde,P,J
CONI,LOCKHEED,C-121 Constellation,L,P
CONI,LOCKHEED,Constellation,L,P
CONI,LOCKHEED,EC-121 Constellation,L,P
CONI,LOCKHEED,L-049 Constellation,L,P
CONI,LOCKHEED,L-1049 Super Constellation,L,P
CONI,LOCKHEED,L-749 Constellation,L,P
CONI,LOCKHEED,R7V Constellation,L,P
CONI,LOCKHEED,RC-121 Constellation,L,P
CONI,LOCKHEED,Super Constellation,L,P
CONI,LOCKHEED,VC-121 Constellation,L,P
CONI,LOCKHEED,Warning Star,L,P
CONI,LOCKHEED,WV Warning Star,L,P
COOT,AEROCAR,Coot,A,P
COOT,AEROCAR,Super Coot,A,P
COOT,TAYLOR,Coot,A,P
COOT,TAYLOR,Super Coot,A,P
CORR,SIVEL,Corriedale,L,P
CORR,SIVEL,SD-27 Corriedale,L,P
CORS,CHANCE VOUGHT,AU Corsair,L,P
CORS,CHANCE VOUGHT,Corsair,L,P
CORS,CHANCE VOUGHT,F4U Corsair,L,P
CORS,CHANCE VOUGHT,V-166 Corsair,L,P
CORS,GOODYEAR,Corsair,L,P
CORS,GOODYEAR,FG Corsair,L,P
CORS,VOUGHT-SIKORSKY,Corsair,L,P
CORS,VOUGHT-SIKORSKY,F4U Corsair,L,P
CORS,VOUGHT-SIKORSKY,V-166 Corsair,L,P
COUG,ACRO SPORT,Cougar,L,P
COUG,EAA,Cougar,L,P
COUG,NESMITH,Cougar,L,P
COUR,HELIO,Courier,L,P
COUR,HELIO,Courier 2,L,P
COUR,HELIO,H-250 Courier 2,L,P
COUR,HELIO,H-295 Super Courier,L,P
COUR,HELIO,H-391 Courier,L,P
COUR,HELIO,H-392 Strato-Courier,L,P
COUR,HELIO,H-395 Courier,L,P
COUR,HELIO,H-395 Super Courier,L,P
COUR,HELIO,H-700 Courier,L,P
COUR,HELIO,H-800 Courier,L,P
COUR,HELIO,HT-295 Super Courier,L,P
COUR,HELIO,Strato-Courier,L,P
COUR,HELIO,Super Courier,L,P
COUR,HELIO,U-10 Super Courier,L,P
COY2,RANS,Coyote 2,L,P
COY2,RANS,S-6 Coyote 2,L,P
COZY,AEROCAD,AeroCanard,L,P
COZY,COSY,Cosy Classic,L,P
COZY,CO-Z,Cozy,L,P
COZY,RUTAN,Cozy,L,P
CP10,AKROTECH EUROPE,CAP-10,L,P
CP10,CAARP,CAP-10,L,P
CP10,CAP AVIATION,CAP-10,L,P
CP10,MUDRY,CAP-10,L,P
CP13,CAARP,CP-1310 Super Emeraude,L,P
CP13,CAARP,Super Emeraude,L,P
CP13,PIEL,CP-1310 Super Emeraude,L,P
CP13,PIEL,CP-1315 Super Emeraude,L,P
CP13,PIEL,CP-1330 Super Emeraude,L,P
CP13,PIEL,Super Emeraude (CP-1310/1315/1330),L,P
CP13,SCINTEX,CP-1310 Super Emeraude,L,P
CP13,SCINTEX,CP-1315 Super Emeraude,L,P
CP13,SCINTEX,CP-1330 Super Emeraude,L,P
CP13,SCINTEX,Super Emeraude,L,P
CP20,CAARP,CAP-20,L,P
CP20,MUDRY,CAP-20,L,P
CP21,MUDRY,CAP-21,L,P
CP22,AKROTECH EUROPE,CAP-222,L,P
CP22,CAP AVIATION,CAP-222,L,P
CP22,GILES,G-222,L,P
CP23,AKROTECH EUROPE,CAP-232,L,P
CP23,CAP AVIATION,CAP-232,L,P
CP23,MUDRY,CAP-230,L,P
CP23,MUDRY,CAP-231,L,P
CP23,MUDRY,CAP-232,L,P
CP30,BINDER,CP-301 Smaragd,L,P
CP30,BINDER,Smaragd,L,P
CP30,COOPAVIA-MENAVIA,CP-301 Emeraude,L,P
CP30,COOPAVIA-MENAVIA,Emeraude,L,P
CP30,FAIRTRAVEL,Linnet,L,P
CP30,GARLAND,Linnet,L,P
CP30,HAINZ,CP-301 Emeraude,L,P
CP30,HAINZ,Emeraude,L,P
CP30,PIEL,CP-30 Emeraude,L,P
CP30,PIEL,CP-301 Emeraude,L,P
CP30,PIEL,CP-302 Emeraude,L,P
CP30,PIEL,CP-304 Emeraude,L,P
CP30,PIEL,CP-305 Emeraude,L,P
CP30,PIEL,CP-309 Emeraude,L,P
CP30,PIEL,CP-311 Emeraude,L,P
CP30,PIEL,CP-315 Emeraude,L,P
CP30,PIEL,CP-316 Emeraude,L,P
CP30,PIEL,CP-319 Emeraude,L,P
CP30,PIEL,Emeraude,L,P
CP30,RENARD,CP-301 Emeraude,L,P
CP30,RENARD,Emeraude,L,P
CP30,ROUCHAUD,CP-301 Emeraude,L,P
CP30,ROUCHAUD,Emeraude,L,P
CP30,ROUSSEAU,CP-301 Emeraude,L,P
CP30,ROUSSEAU,Emeraude,L,P
CP30,SCANOR,CP-301 Emeraude,L,P
CP30,SCANOR,Emeraude,L,P
CP30,SCINTEX,CP-301 Emeraude,L,P
CP30,SCINTEX,CP-315 Emeraude,L,P
CP30,SCINTEX,Emeraude,L,P
CP30,SOCA,CP-301 Emeraude,L,P
CP30,SOCA,Emeraude,L,P
CP30,STARK,CP-301 Emeraude,L,P
CP30,STARK,Emeraude,L,P
CP32,ERPALS,CP-320 SuperEmeraude,L,P
CP32,ERPALS,CP-324 Super Emeraude,L,P
CP32,ERPALS,Super Emeraude,L,P
CP32,PIEL,CP-320 Super Emeraude,L,P
CP32,PIEL,CP-325 Super Emeraude,L,P
CP32,PIEL,CP-328 Super Emeraude,L,P
CP32,PIEL,Super Emeraude (CP-320/325/328),L,P
CP60,PIEL,CP-60 Diamant,L,P
CP60,PIEL,CP-601 Diamant,L,P
CP60,PIEL,CP-604 Super Diamant,L,P
CP60,PIEL,CP-605 Super Diamant,L,P
CP60,PIEL,CP-607 Super Diamant,L,P
CP60,PIEL,CP-615 Super Diamant,L,P
CP60,PIEL,Diamant,L,P
CP60,PIEL,Super Diamant,L,P
CP65,PORTERFIELD,Collegiate,L,P
CP65,PORTERFIELD,CP-65 Collegiate,L,P
CP75,PIEL,Béryl,L,P
CP75,PIEL,CP-70 Béryl,L,P
CP75,PIEL,CP-701 Béryl,L,P
CP75,PIEL,CP-750 Béryl,L,P
CP75,PIEL,CP-751 Béryl,L,P
CP75,PIEL,CP-760 Béryl,L,P
CP80,PIEL,CP-80 Zéphir,L,P
CP80,PIEL,CP-801 Zéphir,L,P
CP80,PIEL,CP-802 Zéphir,L,P
CP80,PIEL,Zéphir,L,P
CP90,PIEL,CP-90 Pinocchio,L,P
CP90,PIEL,Pinocchio,L,P
CPNA,PENA,Capena,L,P
CPUP,CULP,Sopwith Pup,L,P
CR10,DYN'AERO,CR-100,L,P
CR10,DYN'AERO,CR-110,L,P
CR10,DYN'AERO,CR-120,L,P
CRA1,CRANFIELD,A-1 Eagle,L,P
CRA1,CRANFIELD,Eagle,L,P
CRAC,PLUMB,CJ-3 Cracker Jack,L,P
CRAC,PLUMB,Cracker Jack,L,P
CRER,RANS,Courier,L,P
CRER,RANS,S-7 Courier,L,P
CRES,NEW ZEALAND,Cresco,L,T
CRES,PACIFIC AEROSPACE,Cresco,L,T
CRIO,MICROLEVE,Corsario,A,P
CRJ1,CANADAIR,CL-600 Regional Jet CRJ-100,L,J
CRJ1,CANADAIR,CL-600 Regional Jet RJ-100,L,J
CRJ1,CANADAIR,Regional Jet CRJ-100,L,J
CRJ1,CANADAIR,Regional Jet RJ-100,L,J
CRJ2,CANADAIR,Challenger 800,L,J
CRJ2,CANADAIR,CL-600 Challenger 800,L,J
CRJ2,CANADAIR,CL-600 Corporate Jetliner,L,J
CRJ2,CANADAIR,CL-600 Regional Jet CRJ-200,L,J
CRJ2,CANADAIR,CL-600 Regional Jet RJ-200,L,J
CRJ2,CANADAIR,CL-600 Special Edition,L,J
CRJ2,CANADAIR,Corporate Jetliner,L,J
CRJ2,CANADAIR,Regional Jet CRJ-200,L,J
CRJ2,CANADAIR,Regional Jet RJ-200,L,J
CRJ2,CANADAIR,Special Edition,L,J
CRJ7,CANADAIR,CL-600 Regional Jet CRJ-700,L,J
CRJ7,CANADAIR,Regional Jet CRJ-700,L,J
CRJ9,CANADAIR,CL-600 Regional Jet CRJ-900,L,J
CRJ9,CANADAIR,Regional Jet CRJ-900,L,J
CT4,AESL,Airtrainer,L,P
CT4,AESL,CT-4 Airtrainer,L,P
CT4,PACIFIC AEROSPACE,Airtrainer,L,P
CT4,PACIFIC AEROSPACE,CT-4 Airtrainer,L,P
CTAH,RAINBOW,Cheetah,L,P
CUB2,ACES HIGH,Cuby 2,L,P
CUCA,CULVER,Cadet,L,P
CUCA,CULVER,LAR Cadet,L,P
CUCA,CULVER,LCA Cadet,L,P
CUCA,CULVER,LFA Cadet,L,P
CUCA,CULVER,PQ-14 Cadet,L,P
CUCA,CULVER,PQ-8 Cadet,L,P
CUCA,LA FRANCE,Cadet STF,L,P
CULP,CULP,Special,L,P
CULV,CULVER,V,L,P
CULX,FISHER AERO,Culex,L,P
CV99,CONVAIR,CV-990,L,J
CVLP,CONVAIR,C-131,L,P
CVLP,CONVAIR,C-131 Samaritan,L,P
CVLP,CONVAIR,Convairliner,L,P
CVLP,CONVAIR,CV-240 Convairliner,L,P
CVLP,CONVAIR,CV-340 Convairliner,L,P
CVLP,CONVAIR,CV-440 Metropolitan,L,P
CVLP,CONVAIR,ET-29,L,P
CVLP,CONVAIR,HC-131,L,P
CVLP,CONVAIR,Metropolitan,L,P
CVLP,CONVAIR,Samaritan,L,P
CVLP,CONVAIR,T-29,L,P
CVLP,CONVAIR,VC-131G,L,P
CVLP,CONVAIR,VT-29,L,P
CVLT,CANADAIR,CC-109 Cosmopolitan,L,T
CVLT,CANADAIR,CL-66,L,T
CVLT,CANADAIR,Cosmopolitan,L,T
CVLT,CANADAIR,CV-580,L,T
CVLT,CONVAIR,C-131H,L,T
CVLT,CONVAIR,CV-580,L,T
CVLT,CONVAIR,CV-600,L,T
CVLT,CONVAIR,CV-640,L,T
CVLT,KELOWNA,CV-5800,L,T
CYCL,CARLSON,Skycycle,L,P
CYGT,HAWKER,Cygnet,L,P
CYGT,HAWKER,Cygnet Replica,L,P
D1,DERRINGER,New Derringer,L,P
D1,WING,D-1 Derringer,L,P
D1,WING,Derringer,L,P
D11,AERO-DIFUSION,Compostela,L,P
D11,AERO-DIFUSION,D-112 Popuplane,L,P
D11,AERO-DIFUSION,D-119 Popuplane,L,P
D11,AERO-DIFUSION,D-1190S Compostela,L,P
D11,AERO-DIFUSION,Popuplane,L,P
D11,AERO-JODEL,D-11,L,P
D11,ALPAVIA,D-117,L,P
D11,DENIZE,D-112,L,P
D11,EAC,D-127,L,P
D11,EAC,D-128,L,P
D11,FALCONAR,Cruiser,L,P
D11,FALCONAR,F-11,L,P
D11,FALCONAR,F-11 Sporty,L,P
D11,FALCONAR,F-12 Cruiser,L,P
D11,FALCONAR,Sporty,L,P
D11,JODEL,D-11,L,P
D11,JODEL,D-111,L,P
D11,JODEL,D-112,L,P
D11,JODEL,D-113,L,P
D11,JODEL,D-114,L,P
D11,JODEL,D-115,L,P
D11,JODEL,D-116,L,P
D11,JODEL,D-117,L,P
D11,JODEL,D-118,L,P
D11,JODEL,D-119,L,P
D11,JODEL,D-120,L,P
D11,JODEL,D-121,L,P
D11,JODEL,D-122,L,P
D11,JODEL,D-123,L,P
D11,JODEL,D-124,L,P
D11,JODEL,D-125,L,P
D11,JODEL,D-126,L,P
D11,JODEL,D-127,L,P
D11,JODEL,D-128,L,P
D11,RENARD,D-112,L,P
D11,SAN,D-112,L,P
D11,SAN,D-117,L,P
D11,UETZ,U-2V,L,P
D11,VALLADEAU,D-112,L,P
D11,VALLADEAU,D-119,L,P
D11,WASSMER,D-112,L,P
D11,WASSMER,D-120 Paris-Nice,L,P
D11,WASSMER,Paris-Nice,L,P
D139,DORNA,Blue Bird,L,P
D139,DORNA,D-139-PT1 Blue Bird,L,P
D140,JODEL,Abeille,L,P
D140,JODEL,D-140 Abeille,L,P
D140,JODEL,D-140 Mousquetaire,L,P
D140,JODEL,Mousquetaire,L,P
D140,MUDRY,D-140 Mousquetaire,L,P
D140,MUDRY,Mousquetaire,L,P
D140,SAN,Abeille,L,P
D140,SAN,D-140 Abeille,L,P
D140,SAN,D-140 Mousquetaire,L,P
D140,SAN,Mousquetaire,L,P
D150,JODEL,D-150 Mascaret,L,P
D150,JODEL,Mascaret,L,P
D150,SAN,D-150 Mascaret,L,P
D150,SAN,Mascaret,L,P
D18,JODEL,D-18,L,P
D18,JODEL,D-19,L,P
D18,JODEL,D-20,L,P
D201,D'APUZZO,D-201 Sportwing,L,P
D201,D'APUZZO,Sportwing,L,P
D228,DORNIER,228,L,T
D228,FAIRCHILD DORNIER,228,L,T
D228,HINDUSTAN,228,L,T
D25,NEW STANDARD,D-25,L,P
D250,CENTRE EST,Capitaine,L,P
D250,CENTRE EST,DR-200,L,P
D250,CENTRE EST,DR-250 Capitaine,L,P
D253,CENTRE EST,DR-253 Regent,L,P
D253,CENTRE EST,Regent,L,P
D28D,DORNIER,128-2 Skyservant,L,P
